departure_time,arrival_time,driver_code,dtg_status,driving_time,driving_distance,speed_max,speed_avg,rpm_max,rpm_avg,volt_min,volt_max,overspeed_time,accumulated_distance
2022-11-18 8:47:10,2022-11-18 9:17:29,6987201,0,1819,0,0,0.0,1057,951.4,255,285,0,1053912
2022-11-18 9:43:52,2022-11-18 9:52:55,6987201,0,543,0,12,0.6,1242,515.8,280,285,0,1053912
2022-11-18 9:58:38,2022-11-18 11:19:55,6987201,0,4877,81,108,59.6,1659,989.2,275,285,0,1053993
2022-11-18 13:00:10,2022-11-18 13:01:41,6987201,0,91,0,5,1.0,855,484.0,200,285,0,1053993
2022-11-18 13:08:38,2022-11-18 14:42:21,6987201,0,5623,81,105,51.5,1605,960.2,270,285,0,1054074
2022-11-18 14:42:41,2022-11-18 14:46:17,6987201,0,216,0,12,1.9,1138,203.5,235,280,0,1054074
2022-11-18 14:55:47,2022-11-18 14:59:03,6987201,0,196,0,5,0.4,792,501.6,275,285,0,1054074
2022-11-18 15:52:00,2022-11-18 15:52:51,6987201,0,51,0,9,3.3,722,505.3,270,285,0,1054074
2022-11-18 15:59:35,2022-11-18 18:22:45,6987201,0,8590,81,101,33.9,1594,847.8,275,285,0,1054155
2022-11-18 18:54:22,2022-11-18 20:24:43,6987201,0,5421,81,107,53.4,1596,945.3,275,285,0,1054236
2022-11-18 20:35:46,2022-11-18 20:39:01,6987201,0,195,0,9,1.7,987,527.4,275,285,0,1054236
2022-11-18 20:43:58,2022-11-18 20:48:03,6987201,0,245,0,0,0.0,0,0.0,245,255,0,1054236
